material,A_EN,A_EA (kJ/mol),A_IE (kJ/mol),A_density (Kg/m3),A_weight (u),A_calculated_radius (pm),A_covalent radius (pm),B1_EN,B1_EA (kJ/mol),B1_IE (kJ/mol),B1_density (Kg/m3),B1_weight (u),B1_calculated_radius (pm),B1_covalent radius (pm),B2_EN,B2_EA (kJ/mol),B2_IE (kJ/mol),B2_density (Kg/m3),B2_weight (u),B2_calculated_radius (pm),B2_covalent radius (pm),X_EN,X_EA (kJ/mol),X_IE (kJ/mol),X_density (Kg/m3),X_weight (u),X_calculated_radius (pm),X_covalent radius (pm),Bandgap
Cs2AgAsBr6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.18,78,947,5727,74.92,114,119,2.96,324.6,1139.9,3120,79.9,94,114,1.64
Cs2AgAsCl6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.18,78,947,5727,74.92,114,119,3.16,349,1251.2,3.214,35.45,79,99,2.3023
Cs2AgAsI6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.18,78,947,5727,74.92,114,119,2.66,295.2,1008.4,4940,126.9,115,133,0.9221
Cs2AgInCl6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,1.78,28.9,558,7310,114.82,156,144,2.18,78,947,5727,74.92,114,119,2.46
Cs2AgSbBr6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.05,103.2,834,6697,121.76,133,138,2.96,324.6,1139.9,3120,79.9,94,114,1.67
Cs2AgSbCl6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.05,103.2,834,6697,121.76,133,138,2.18,78,947,5727,74.92,114,119,2.325
Cs2AgSbI6,0.79,45.5,375.7,1879,132.9,298,225,1.93,125.6,731,10490,107.87,165,153,2.05,103.2,834,6697,121.76,133,138,2.66,295.2,1008.4,4940,126.9,115,133,0.9546
Cs2CsGaBr6,0.79,45.5,375.7,1879,132.9,298,225,0.79,45.5,375.7,1879,132.9,298,225,1.81,28.9,578.8,5904,69.723,136,126,2.96,324.6,1139.9,3120,79.9,94,114,3.6288
Cs2CsInCl6,0.79,45.5,375.7,1879,132.9,298,225,0.79,45.5,375.7,1879,132.9,298,225,1.78,28.9,558,7310,114.82,156,144,2.18,78,947,5727,74.92,114,119,5.3117
Cs2CuAsBr6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.18,78,947,5727,74.92,114,119,2.96,324.6,1139.9,3120,79.9,94,114,1.5571
Cs2CuAsCl6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.18,78,947,5727,74.92,114,119,2.18,78,947,5727,74.92,114,119,2.1849
Cs2CuAsI6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.18,78,947,5727,74.92,114,119,2.66,295.2,1008.4,4940,126.9,115,133,0.5741
Cs2CuBiBr6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.02,91.2,703,9780,208.9804,146,143,2.96,324.6,1139.9,3120,79.9,94,114,1.9446
Cs2CuBiCl6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.02,91.2,703,9780,208.9804,146,143,2.18,78,947,5727,74.92,114,119,2.5067
Cs2CuBiI6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.02,91.2,703,9780,208.9804,146,143,2.66,295.2,1008.4,4940,126.9,115,133,1.2315
Cs2CuSbBr6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.05,103.2,834,6697,121.76,133,138,2.96,324.6,1139.9,3120,79.9,94,114,1.5928
Cs2CuSbCl6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.05,103.2,834,6697,121.76,133,138,2.18,78,947,5727,74.92,114,119,2.2237
Cs2CuSbI6,0.79,45.5,375.7,1879,132.9,298,225,1.9,118.4,745.5,8960,63.546,145,138,2.05,103.2,834,6697,121.76,133,138,2.66,295.2,1008.4,4940,126.9,115,133,0.8907
Cs2GeBr6,0.79,45.5,375.7,1879,132.9,298,225,2.18,78,947,5727,74.92,114,119,2.18,78,947,5727,74.92,114,119,2.96,324.6,1139.9,3120,79.9,94,114,1.7053
Cs2GeCl6,0.79,45.5,375.7,1879,132.9,298,225,2.18,78,947,5727,74.92,114,119,2.18,78,947,5727,74.92,114,119,2.18,78,947,5727,74.92,114,119,3.4338
Cs2GeI6,0.79,45.5,375.7,1879,132.9,298,225,2.18,78,947,5727,74.92,114,119,2.18,78,947,5727,74.92,114,119,2.66,295.2,1008.4,4940,126.9,115,133,0
Cs2HfBr6,0.79,45.5,375.7,1879,132.9,298,225,1.3,0,658.5,13310,178.49,208,150,1.3,0,658.5,13310,178.49,208,150,2.96,324.6,1139.9,3120,79.904,94,114,4.4948
Cs2HfCl6 ,0.79,45.5,375.7,1879,132.9,298,225,1.3,0,658.5,13310,178.49,208,150,1.3,0,658.5,13310,178.49,208,150,3.16,349,1251.2,3.214,35.45,79,99,5.6826
Cs2HfI6,0.79,45.5,375.7,1879,132.9,298,225,1.3,0,658.5,13310,178.49,208,150,1.3,0,658.5,13310,178.49,208,150,2.66,295.2,1008.4,4940,126.9,115,133,3.048
Cs2KInBr6,0.79,45.5,375.7,1879,132.9,298,225,0.82,48.4,418.8,856,39.098,243,196,1.78,28.9,558.3,7310,114.82,156,144,2.96,324.6,1139.9,3120,79.904,94,114,3.6061
